article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000459518;Zielinski & Rozen;ZIELINSKI & ROZEN Sweet & floral;наборы миниатюр;Россия;4500;4500;https://goldapple.ru/19000459518-sweet-floral;53.9;Аромат категории унисекс. Долго сохраняется на коже, оставляя легкий шлейф. В набор входит 5 ароматов по 3 мл: • Dark fig. • Peach, passion fruit, musk. • Apple, lotus. • Blackcurrant, geranium, amber, leather. • Amberwood, vanilla, davana.;Распылять на кожу с расстояния 30 см. Для усиления стойкости аромата наносить на разогретое или влажное тело.
19000459517;Zielinski & Rozen;ZIELINSKI & ROZEN Spicy & wood;наборы миниатюр;Россия;4500;4500;https://goldapple.ru/19000459517-spicy-wood;19.0;Аромат категории унисекс. Долго сохраняется на коже, оставляя легкий шлейф. В набор входит 5 ароматов по 3 мл: • Black pepper, vetiver, neroli, amber. • Cedarwood, neroli, amber. • Vetiver, elemi, patchuli. • Wood, amber, wood blend. • Leather, sandalwood, amber.;Распылять на кожу с расстояния 30 см. Для усиления стойкости аромата наносить на разогретое или влажное тело.
19000008795;MiN NEW YORK;MIN NEW YORK TRAVEL SET: ONSEN;наборы миниатюр;Франция;15230;6092;https://goldapple.ru/19000008795-travel-set-onsen;;В набор входят 3 миниатюры парфюмерной воды ONSEN от MIN NEW YORK (10 мл). Объем, идеальный для поездок, позволит всегда носить любимый аромат с собой или брать его в путешествия. Эта композиция, посвященная вулканам и горячим источникам Японии, вдохновляет на единение с природой. Ритуал начинается с нот бергамота, фенхеля, розмарина, тимьяна и эстрагона. В сердце необыкновенного, насыщенного зелья – сосновые иголки, кипарис и морской аккорд. Ощутить гармонию с природой помогают и базовые ноты: дубовый мох, ветивер и серая амбра.;
