article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
26730700002;Byredo;BYREDO Blanche;парфюмерная вода;Франция;45110;27066;https://goldapple.ru/26730700002-blanche;521.7;Аромат посвящен возлюбленной. Символ чистоты и возвышенности. Blanche также передает  понимание Беном Горхемом классической красоты. Аромат чистоты – простой по структуре, но экстремальный по характеру. Композиция:  белая роза, розовый перец, альдегид, фиалка, нероли, пион, белое дерево, сандал, мускус.;
26375300001;Tom Ford;TOM FORD Lost Cherry;парфюмерная вода;США;42900;38610;https://goldapple.ru/26375300001-lost-cherry;505.08;Сладость. Соблазн. Неутолимое желание. Lost Cherry — насыщенный аромат, открывающий двери в некогда запретный мир. Его соблазнительная двойственность основана на контрасте игривой, блестящей и гладкой изнанки с сочной мякотью внутри», — Том Форд. Насыщенный и изысканный амбровый аромат Lost Cherry пронизан контрастами. Он переносит нас в место, где невинность пересекается с наслаждением, а сладость встречается с соблазном. Lost Cherry пробуждает неутолимое желание и будоражит фантазию, завершаясь величественным насыщенным шлейфом из чувственных нот перуанского бальзама, обжаренных бобов тонка, сандалового дерева, ветивера и кедра. Основные ноты: Черешня, масло горького миндаля, сироп из вишни «гриот», турецкая роза, перуанский бальзам и обжаренные бобы тонка.;
19760300432;Bon Parfumeur Paris;BON PARFUMEUR PARIS 003 – yuzu, feuilles de violette, vétiver;парфюмерная вода;Франция;5547;3605;https://goldapple.ru/19760300432-003-yuzu-feuilles-de-violette-vetiver;485.98;Юзу, ветивер, листья фиалки – три характерные ноты аромата 003 от Bon Parfumeur. Одновременно воздушная и пикантная композиция с мятным оттенком освежает, словно прохладный мохито. Нежные свежие ноты, напоминающие зеленый чай, придают ей пьянящую лёгкость. За воздушным пудровым аккордом и изысканными белыми цветами скрываются игривые древесные ноты. Элеми усиливает все грани притягательного аромата, зовущего в освежающее ольфактивное путешествие.  Верхние ноты: бергамот, юзу, листья фиалки.  Ноты сердца: жасмин, нероли, элеми.  Базовые ноты: ветивер, мускус.;
7200400011;Dolce & Gabbana;DOLCE & GABBANA THE ONLY ONE;парфюмерная вода;Франция;14755;9295;https://goldapple.ru/7200400011-the-only-one;424.34;Dolce&Gabbana представляет невероятно женственный аромат The Only One. Уникальное звучание The Only One сформировано неожиданным сочетанием нот фиалки и кофе, рождающим яркую и роскошную цветочную композицию. Аромат, как и его обладательница, поражает необычной игрой контрастов. Освежающий и насыщенный начальный аккорд раскрывается нотами фиалки, дополненными легкими оттенками бергамота. Средний аккорд состоит из кофе и роскошного благоухания ириса. Базовый аккорд ванили и пачули создает ощущение комфорта, пробуждая чувства и окутывая насыщенным ароматом.;
19000258593;Jean Paul Gaultier;JEAN PAUL GAULTIER SCANDAL LE PARFUM;парфюмерная вода;Франция;14691;11018;https://goldapple.ru/19000258593-scandal-le-parfum;396.9;Насыщенная женская парфюмерная вода в скандальном стиле Jean Paul Gaultier Забудьте об условностях cо SCANDAL LE PARFUM! Какая разница, если это кого-то шокирует? Ослепительный взрыв жасмина в верхних нотах будоражит чувства. Пленительная солёная карамель сбивает с толку – какая наглость! Опьяняющая черная ваниль раскрывается древесно-кожаными аккордами.  Цветочно-амбровая композиция так возмутительно привлекательна, как кокетливые ножки, что красуются на ярко-красном флаконе. SCANDAL LE PARFUM великолепно раскрывается на запястьях, потрясающе – на шее, умопомрачительно – в зоне декольте. Чего же вы ждете? Парфюмеры: Фабрис Пеллегрен, Дафна Бюже, Ане Айо. Внешний вид товара может отличаться.;Нанести на кожу, избегая попадания в глаза. Для более полного раскрытия аромата рекомендуется нанести его на точки пульса на шее, зоне декольте и запястьях.
26775000002;Mancera;MANCERA RED TOBACCO;парфюмерная вода;Франция;20540;13761;https://goldapple.ru/26775000002-red-tobacco;282.24;Красный — цвет страсти! Он очаровывает и пьянит, его тепло наполнено спокойной уверенностью и силой. Амели и Пьер Мансера выбрали для его воплощения ароматную смесь кубинского табака и карибских пряностей, создав парфюмерный пейзаж вечернего неба окрашенного в бордовые оттенки лучами заходящего в карибское море солнца.;
26802400001;Maison Francis Kurkdjian;MAISON FRANCIS KURKDJIAN Gentle Fluidity Gold;парфюмерная вода;Франция;22000;22000;https://goldapple.ru/26802400001-gentle-fluidity-gold;266.02;Одинаковые ноты, две индивидуальности                                                                                                                                                                                       В щедром и обволакивающем шлейфе gentle Fluidity Gold Masion Francis Kurkdjian вы найдете эссенцию семян кориандра и экстра дозу мускуса и ванили. Как и мускус, пряные цветочные ноты семян кориандра добавляют объемности стойкому шлейфу. Аккорд ванили привносит гурманские  базовые ноты, подчеркнутые древесной амброй, создающий яркий и сияющий силуэт аромата.  Парфюмерная вода gentle  Fluidity Gold  источает комфортные ноты, успокаивающий древесно-мускусный аромат.;Нанести аромат на запястья, шею и точки пульса.
7274300001;Kenzo;KENZO WORLD;парфюмерная вода;Франция;7280;7280;https://goldapple.ru/7274300001-kenzo-world;247.68;Креативная команда KENZO доверила создание формулы своего аромата выдающемуся парфюмеру, Франсису Куркджяну. Он увёл аромат с проторенных дорог, сдул с цветов налет традиционности и решительно вышел за рамки стереотипов. Яркие аккорды пиона, оттенённые жасмином, дополнены загадочными кристаллами Амброксана®. Необычный, восхитительный и притягательный цветочный букет.;
19000010729;ATKINSONS;ATKINSONS Gold Fair in Mayfair;парфюмерная вода;Италия;22800;20520;https://goldapple.ru/19000010729-gold-fair-in-mayfair;247.48;Изысканный аромат ATKINSONS с необычным сочетанием нот посвящен району Мейфэр, расположенному в центральном Лондоне. Этот район, один из самых престижных и знаменитых в городе, известен фешенебельными магазинами, роскошными бутиками и духом аристократичности. Атмосферу легендарного места передают тёплые ноты ириса и какао, с которыми органично сочетается свежий шалфей. Абсент и мускатный орех украшают этот оригинальный коктейль. Амброксан, ветивер и стиракс делают композицию, отражающую стиль и блеск района Мейфэр, глубокой и многогранной.;
19000152129;RABANNE;RABANNE Fame;парфюмерная вода;Франция;9729;6810;https://goldapple.ru/19000152129-fame;241.92;FAME – рожденная сиять. FAME – авангардный женский аромат от Rabanne, созданный для девушки, которая всегда в центре внимания. Уверенная, харизматичная и всегда неповторимая, она привлекает взгляды не только внешним обликом, но и своей энергией и харизмой.   Драгоценная, как ювелирное изделие, и желанная, как легендарное платье-кольчуга от Rabanne. Флакон аромата FAME облачен в культовое металлическое платье от Модного Дома Rabanne — символ авангардной роскоши и смелости. Сияющая, она отражает самые яркие образы парижской it girl от Rabanne. Шипровая фруктово-цветочная парфюмерная вода FAME изобилует драгоценными ингредиентами, которые подчеркивают уникальность женщины. Нежный жасмин в его чистейшей форме, сочное манго и сливочный ладан создают пленительную композицию, которая позволяет сиять ярче звезд. Подобно легендарному платью-кольчуге, аромат обволакивает тело тончайшим слоем из стиля, уверенности и неподвластной времени элегантности. FAME это не только роскошь, но и осознанный выбор. Аромат изготовлен из натуральных ингредиентов (90% состава) и создан в Грассе, сердце парфюмерного искусства.;Нанести на кожу, избегая попадания в глаза. Для более полного раскрытия аромата рекомендуется нанести его на точки пульса на шее, зоне декольте и запястьях.
