article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000152730;Zielinski & Rozen;ZIELINSKI & ROZEN Pink Pepper, Elemi, Cinnamon, Leather;духи;Россия;2690;2690;https://goldapple.ru/19000152730-pink-pepper-elemi-cinnamon-leather;2263.68;Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность. Эрез Розен  Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов.  Все ароматы Zielinski&Rozen категории унисекс.;Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.
19000360575;Jean Paul Gaultier;JEAN PAUL GAULTIER Le Male Elixir Absolu;духи;Франция;17869;15188;https://goldapple.ru/19000360575-le-male-elixir-absolu;95.04;Жара на борту корабля Gaultier достигла пика.  С Le Male Elixir Absolu страсть накаляется до предела, превращая окружающую атмосферу в пылающий жар. В густом мареве машинного дыма и раскалённого металла его тело напрягается от усилий, создавая флакон в форме золотого торса, облачённого в сияющую матроску.  Его харизма пленяет окружающих, опьяняя чувственностью и роскошью. Легендарная лаванда классического Le Male раскрывается глубокими оттенками сливы и яркими акцентами бобов тонка, пробуждая жгучее желание и доводя эмоции до крайности.  Позвольте этому огненному шедевру захватить вас целиком.;Распылите с расстояния 20-30 см.
99000090096;Парфюмерия XXI века;ПАРФЮМЕРИЯ XXI ВЕКА SOBRANIE №12;духи;Россия;795;676;https://goldapple.ru/99000090096-sobranie-no12;4.0;Волнующий нежный аромат #12 BERRIES ORIENTAL —прелестная летняя композиция, которая насыщена душистыми запахами спелых сочных ягод, фруктов и изысканных цветов. Вкусными сладкими фруктовыми оттенками малины, клубники, ежевики, черники и сочным аккордом спелой вишни открывается аромат, насыщаясь в средних нотах парфюмерной композиции изящным цветочным букетом белого жасмина и утонченной нежной ночной фиалки. Теплый солнечный шлейф аромата сплетен из смолянистых янтарных нот и чувственных мускусных оттенков.;Распылить на расстоянии 10-20 см от тела.
99000090495;by MAF;BY MAF Abracadabra extrait;духи;Россия;2771;2632;https://goldapple.ru/99000090495-abracadabra-extrait;2.82;"Abracadabra - это аромат, основанный на уникальной идее, воплощённой в утончённой композиции. Его главная цель - создать ощущение ""дорого-богато"", но без перегруженности сотнями нот, без излишнего эпатажа или эффекта, будто вы надели всё самое лучшее сразу. Это аромат, который сочетает стойкость без тяжести и исключительное качество без компромиссов. Он задуман как идеальный унисекс, к которому хочется тянуться снова и снова. Он универсален: подойдёт для зимних дней и для тёплого летнего вечера, будь то прогулка или встреча. Это парфюм, который гармонично сочетается с любым моментом вашей жизни.";Два пшика на запястья - по одному на каждую руку. Два пшика позади шеи, это позволить аромату шлейфить и при этом не душить. Один пшик на грудь.
19000129858;Boadicea The Victorious;BOADICEA THE VICTORIOUS Hasu;духи;Великобритания;125500;106675;https://goldapple.ru/19000129858-hasu;;Следуй за Золотым Кроликом Hasu… Согласно ежегодной традиции, Boadicea the Victorious выпускает аромат - символ Наступающего года, который подарит радостные эмоции и будет приносить удачу все 365 дней.  Мудрый Кролик Hasu держит в лапках карманные часы и торопливо поглядывает на время. Его лапка отстукивает такт секундной стрелки. Он ждет. Ждет наступления долгожданного времени. Как только все стрелки поравняются на цифре 12 начнется магия и откроется портал в новое время. Минута…еще минута…двенадцать ровно! Из-под черного цилиндра Кролик достает флакон аромата Hasu, открывается крышка и приключение начинается… Внезапный вихрь нот разнотравья из шалфея, лаванды, шафрана, кипариса и брызг мандарина окутывает и уносит в невиданное царство. Прыткий и шустрый кролик ловко скачет по ольфакторной пирамиде, ноты которой меняются чередой калейдоскопа, исчезая и появляясь вновь. Все происходит так стремительно и красочно! Вы ощущаете себя в эпицентре праздничного маскарада на балу у Алой Королевы Розы. В полумрачном зале, украшенном драгоценностями, в веселом танце, кружатся аккорды галантного пудрового ириса, нежность сливочного османтуса и пьянящий мускатный орех. Королева величественно восседает на троне из скирда ароматного сена. В сумраке удивительного зала ваши чувства восприятия обостряются и позволяют ощущать праздник каждой клеточкой тела.  Золотой Кролик Hasu провожает вас в тайную комнату, где царит спокойствие и умиротворение, будто и не было секунду назад грандиозного бала в ритме, которого кружились цветы и пряности. В тайной комнате мягкий свет и отчетливо ощутимый аромат тягучего пихтового бальзама, Кролик Hasu что-то суетливо ищет в карманах из которых сыпятся кусочки янтарной амбры и перечный фьюжн. Нашел! В его лапках вновь появляются карманные часы, он смотрит на них с нетерпением, отстукивая такт секундной стрелки, крышка флакона захлопывается и вы возвращаетесь в реальность.;Для наружного применения
19000406806;Zielinski & Rozen;ZIELINSKI & ROZEN Amberwood, Vanilla, Davana;духи;Россия;7350;7350;https://goldapple.ru/19000406806-amberwood-vanilla-davana;;Аромат категории унисекс. Долго сохраняется на коже, оставляя легкий шлейф.;Спрей. Распылять на кожу с расстояния 30 см. Для усиления стойкости аромата наносить на разогретое или влажное тело.
19000377070;BRUNELLO CUCINELLI;BRUNELLO CUCINELLI SOFFIO ZENIT;духи;Италия;32500;27625;https://goldapple.ru/19000377070-soffio-zenit;;Аромат BRUNELLO CUCINELLI из коллекции, посвященной искусству поэзии, отражает дух стихотворения Джаннины Милли «Un desiderio» («Желание»). Утонченная композиция, созданная парфюмером Флорианом Галло, предлагает современный взгляд на звучание инжира. Переосмысление этой ноты делает акцент на её средиземноморском характере. Аромат дополняют лаванда и розмарин, которые переплетаются в свежем, выразительном букете и подчеркивают теплую, смолистую сладость лабданума, придающего композиции глубину и насыщенность. Это сочетание нот – словно празднование даров земли, воплощенное в элегантном парфюмерном творении.;только для наружного применения.
19000377072;BRUNELLO CUCINELLI;BRUNELLO CUCINELLI BREZZA GENTILE;духи;Италия;32500;32500;https://goldapple.ru/19000377072-brezza-gentile;;Аромат BRUNELLO CUCINELLI из коллекции, отражающей эмоциональную силу поэзии, посвящен сонету Франческо Петрарки «L’aura serena che fra verdi fronde» («Безмятежный ветер среди зеленых листьев»). Композиция, созданная парфюмером Дафной Бюже, с помощью свежей, наполняющей энергией ноты померанца приглашает к вдумчивым размышлениям и самопознанию. Элеми придает сердцу аромата пряные и таинственные грани, усиливая сладкий и обволакивающий аккорд амбры. Пачули с их землистыми акцентами увлекают в чувственное путешествие и погружают в интригующий опыт созерцания.;только для наружного применения.
